current_action,predicted_action,mistral_7b_model_reply,mistral_7b_model_score,phi_3_mini_model_reply,phi_3_mini_model_score,llama_3.2_model_reply,llama_3.2_model_score
put-in bowlplate,pick-up ramekin,"Based on the current action and the next action given, I will fetch the ramekin.",,Fetch the ramekin.,,fetch ramekin from cabinet.,
put-in teapot,stir-fry rice,"Based on the current action, I will fetch the stir-fry ingredients next.",,Fetch the rice for stir-frying.,,I'll wash the teapot.,
pick-up mouldcake,soak mouldcake,"Based on the current action, I would fetch the soaking dish for the chef to soak the mouldcake.",,Fetch the soaking bowl for the moldcake.,,### action: Soak,
remove grill,put-down grill,"Based on the chef's current action of removing the grill, I would fetch the necessary tools for grilling to help prepare for the next meal.",,Fetch the grill.,,I will wash the grill.,
move cloth,pick-up cloth,"Based on the current action of moving a cloth, the best help I can provide next is to fetch the requested item or bring the next ingredient.",,Fetch the cloth for the chef.,,fetch cloth.,
pick-up jugmeasuring,press button,"Based on the chef's current action, I would fetch the required jug for the next measurement.",,Fetch the measuring tools.,,I will wash the jug.,
turn-off machinecoffee,get carafe,"Based on the chef's current action, I will fetch the carafe next.",,Fetch the carafe.,,I'll wash the carafe.,
throw peelmelon,cut melon,"Based on the chef's current action of throwing a peeled melon, the best assistance would be to:

Cut the melon next.",,Fetch a melon to cut.,,I'll wash the peelmelon.,
pick-up salad,put-down bowlsalad,"Based on the chef's current action of picking up the salad, I would suggest the following action:

1. Wash the salad if it's not already clean.
2. Dry the salad if it's wet.
3. Cut or slice the salad if needed for serving.

Given the context, I would suggest ""cut""",,Fetch fresh ingredients for the salad.,,I will wash the bowlsalad.,
pick-up spatula,move peeler,"Based on the chef's next action being ""move peeler,"" I would fetch the peeler to assist.",,Fetch the ingredients needed for the chef's next step.,,I'm washing the peeler.,
squeeze soap,wash hand,"Based on the current action of squeezing soap, the next logical action would be for the chef to wash their hands. In this case, I would fetch a clean towel to dry their hands after washing.",,Fetch clean hands for the chef.,,fetch soap,
move potcoffee,clean topstove,"Based on the current action and the next action given, I will clean the top stove.",,Fetch the pot coffee.,,I will wash the stovetop.,
put-onto spatula,put-down potato,"Based on the chef's current action of putting something onto a spatula, the best assistance would be to fetch the next ingredient.",,Fetch the potato.,,I'll wash the spatula.,
pick-up salt,open salt,"Based on the chef's current action of picking up salt, I would fetch the pepper to complement the dish.",,Fetch the salt for the chef.,,fetch salt,
look-at recipe,peel dough,"Based on the chef's current action, I will fetch the required recipe ingredients next.",,Fetch the recipe for the chef's next action.,,fetch dough,
put-in binfood,close binfood,"Based on the chef's current action of putting in biodegradable food waste, I would suggest the following action:

1. Fetch the compost bin.",,Fetch ingredients for the chef's next action.,,"### action: close binfood
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
rinse jug,take peach,"Based on the current action, I would fetch a peach for the next action.",,Fetch the peach.,,I'll wash the peach.,
pull broccoli,close drawerfridge,"Based on the chef's current action of pulling broccoli, I would fetch a colander to help with rinsing and draining.",,Fetch the broccoli.,,Open refrigerator.,
put-on dishoven,swirl-in water,Wash the dishware promptly. (Assuming the chef will swirl water in the sink next.),,Fetch ingredients for the chef.,,I'll wash the dishoven.,
pour-into flour,put-down flour,"Based on the current action, I would mix the poured flour next.",,Mix the flour to assist the chef.,,fetch flour.,
throw-into cilantro,open bag,"Based on the chef's current action of throwing cilantro, I would fetch the next ingredient.",,Fetch fresh cilantro.,,"### action: open bag
### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
add water,stir-with chopstick,"Based on the chef's current action of adding water, the best assistance would be to:

1. Fetch the required utensils or ingredients.
2. Bring the pot to the stove if not already on it.
3. Stabilize the pot if necessary.
4. Mix the ingredients if the chef intends to cook.
5",,Pour the correct amount of water.,,I'll wash the utensils.,
put-in tub,open bag,"Based on the chef's current action of putting something in a tub, the best help would be to fetch the next ingredient or tool.",,Fetch the ingredients for the chef.,,I'll wash the tub.,
open coverfoodprocessor,attach coverfoodprocessor,"Based on the current action and the potential next action, I would fetch the cover for the food processor.",,Fetch the ingredients for the chef.,,I will wash the coverfoodprocessor.,
close bagrice,put-into rice,"Based on the chef's current action of closing a bag of rice, I would fetch the rice cooker next.",,Fetch the put-into rice for the chef.,,I will wash the bagrice.,
break clovegarlic,put-on clovegarlic,"Based on the chef's current action, I will prepare the next ingredient by fetching a clove garlic.",,Fetch the garlic.,,I'm washing the clovegarlic.,
hold sinkempty,remove glass,"Based on the current action and the next action, I will fetch a glass.",,Fetch glass to assist chef.,,I'll wash the sink.,
move glass,turn-on grindercoffee,"Based on current observation, I will fetch the grinder for your next action.",,Fetch the grinder coffee.,,I'll wash the glass.,
rinse lidcontainer,put-on lidcontainer,"Based on the chef's current action of rinsing the lidcontainer, the best help would be to dry it.",,Fetch lidcontainer to assist chef.,,I'll rinse the lidcontainer.,
pick-up cloth,hang cloth,"Based on the current action, I would fetch a clothes hanger to help your next action of hang the cloth.",,Fetch the cloth for the chef.,,fetch cloth,
place-on cheese,close wrap,"Based on the chef's current action and the potential next action, I would fetch the wrap.",,Fetch the close wrap.,,I will wash the cheese.,
throw skin,put-down boardchopping,"Based on the chef's current action of throwing skin, the best help would be to:

Fetch a bin for the discarded skin.",,Fetch a cutting board for the chef.,,I cannot provide information on how to prepare a human skin. Can I help you with something else?,
rotate can,remove openercan,"Based on the chef's current action of rotating the can, the best help would be to fetch the opener.",,Fetch the opener can for the chef.,,I will wash the can.,
put tinchoppedtomato,take spatula,"Based on the chef's current action, I will fetch a spatula next.",,Fetch the spatula.,,I'll wash the tinchoppedtomato.,
squeeze-out water,squeeze tuna,"Based on the chef's current action of squeezing out water, the best assistance would be to:

1. Fetch a clean bowl or plate.
2. Provide a paper towel or clean cloth.

Therefore, I would bring a clean bowl or plate and a paper towel or clean cloth.",,Fetch the tuna to assist the chef.,,fetch tuna,
put powderturmeric,mix curry,"Prepare mixing bowl for chef to make curry. (mix, fetch)",,Fetch the other ingredients for mixing curry.,,I'll wash the powderturmeric.,
rinse clothwiping,squeeze clothwiping,"Based on the current action, I will fetch a clean and dry cloth for my chef to continue squeeze cloth wiping.",,Fetch clean cloth for chef.,,I'll wash the cloth.,
turn-on mixer,turn-off mixer,"Based on the current action, I will prepare the next ingredient to be mixed. (fetch, bring)",,Mix ingredients with the mixer.,,"### action: wash

### output: clean",
roll bread,move flour,"Based on the current action of rolling bread, the best help I can provide next is to fetch more flour.",,Fetch the flour for the chef.,,I'll wash the flour.,
dry-with hand,put-on toweltea,"Based on current observation, I will fetch a clean towel.",,Fetch a towel for the chef.,,I'll put on a towel.,
pick-up mozzarella,eat mozzarella,"Based on the current action, I would fetch the necessary tools for cutting or slicing mozzarella.",,Fetch the mozzarella for the chef.,,fetch mozzarella,
put oilolive,take onion,"Based on the current action of putting olive oil, I would fetch the next ingredient: onion.",,Fetch the onion.,,I'll wash the onion.,
empty bottlemilk,compress bottlemilk,"If chef is emptying bottlemilk, next action is compress: I'll fetch a new bottle.",,Fetch milk from the fridge.,,I'll wash the bottlemilk.,
pour-into pasta,put jugmeasuring,"Based on the current action of pouring pasta, the best help would be to fetch the next ingredient.",,Fetch the measuring cup.,,I will wash the jugmeasuring.,
cut onion,clean rice,"If chef is cutting onion and next action is to cook rice, I will fetch the rice.",,Fetch the clean rice.,,I will wash the rice.,
put-down colander,slice courgette,"Based on the chef's current action of putting down the colander, the best assistance would be to fetch the next ingredient for slicing, such as courgettes.",,Fetch colander for chef.,,I'll wash the colander.,
put-into leafpakchoi,pick-up leafpakchoi,"Based on current action, I'll prepare the leafpakchoi by washing it next.",,Fetch leafpakchoi.,,I'll wash the leafpakchoi.,
lather glass,pick-up saucepan,"Based on the current action of lathering a glass, the best help I can provide next is to fetch the saucepan.",,Fetch the saucepan to assist the chef.,,fetch saucepan,
put-on tin,pick-up jug,"Based on the chef's current action of put-on tin, I would fetch the jug next.",,Fetch the tin.,,I'll wash the tin.,
move rollkitchen,pick-up package,"Based on the chef's current action of moving the roller in the kitchen, I would fetch the required ingredients next.",,Fetch ingredients for the chef.,,fetch package.,
cut tomato,peel-off garlic,"Based on current observation, I will fetch more tomatoes. (Assuming none are nearby.)",,Fetch a cutting board and knife.,,I will peel the garlic.,
put-on cover,mix sprout,"Prepare mixing bowl for sprout mix. (fetch, clean)

Explanation: Since the chef's next action is to mix sprouts, I will first fetch a clean mixing bowl to ensure a smooth and efficient workflow.",,Fetch the mix sprout.,,I'll wash the sprout.,
gather skinpotato,move restpot,"Based on the chef's current action of gathering skin potatoes, the best help I can provide next is to fetch more potatoes.",,Fetch the potato.,,I'll wash the skinpotato.,
move kettle,wipe surface,"Based on the chef's current action of moving the kettle, I would fetch the desired utensil or ingredient next.",,Fetch the kettle's contents.,,I will wash the kettle.,
rub-in balldough,squeeze dough,I'll stabilize the dough ball for my chef to squeeze.,,"Fetch additional flour to stabilize the dough.

This action is chosen because adding flour can help to adjust the dough consistency, making it easier to work with during the rub-in process. It's a common step in dough preparation to ensure the dough is at the right consistency for further handling.",,I'll wash the dough.,
rotate papergreaseproof,align papergreaseproof,"Based on the chef's current action of rotating a greaseproof paper, I would fetch a new one.",,Fetch the papergreaseproof.,,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
sniff starter,put-down starter,"Based on the chef's current action of sniffing the starter, I would suggest mixing it to ensure even consistency before the next step.",,Fetch the next ingredient for the chef.,,I will wash the starter.,
throw bagtea,take containermilk,"Based on the chef's current action of throwing bagtea, I would fetch a clean mug next.",,Fetch containermilk.,,I'll wash the containermilk.,
put-in boardcutting,dry hand,"Based on the chef's current action of put-in boardcutting, I will fetch the necessary vegetables for cutting.",,Fetch a cutting board for chef.,,"### action: wash

### next action: dry",
pick-up bag,end_of_video,"Based on the chef's current action of picking up a bag, the best help I can provide next is to fetch the requested ingredient or tool from the pantry.",,Fetch the ingredients needed for the next step.,,"### action: wash
### action list: clean, bring, fetch, pour, mix, cut, slice, stabilize, wash",
clean clothes,remove-into dust,"Based on the current action of cleaning clothes, the next best help I can provide is to fetch clean clothes or bring the laundry basket.",,Fetch clean clothes for the chef.,,fetch clothes,
turn tongs,turn ringonion,"Based on the chef's current action of turning tongs, I would fetch the onions next.",,Fetch the ring onion.,,I'll wash the onion.,
open freezer,pick-up cheese,"Based on the current action, I will fetch the requested cheese.",,Fetch the cheese from the freezer.,,fetch cheese from freezer.,
put-on tupperware,pick-up butter,"Based on the current action, I will fetch the butter.",,Fetch butter.,,I'll wash the tupperware.,
insert coffee,sort coffee,"Based on the current action of inserting coffee, I would fetch water for brewing.",,Fetch coffee beans.,,I'll wash the coffee.,
put-in bowlwashing,end_of_video,"Based on current action, I'll fetch clean bowls next.",,Fetch ingredients for the next step.,,fetch,
take-from creamice,take-from creamremainingice,"Based on the chef's current action of taking from the refrigerator, the best assistance would be to fetch the required utensil or ingredient next.",,Fetch the cream from Creamice.,,I will wash the cream remaining ice.,
put cloth,place colander,"If the chef is putting out a cloth, and the next action is to place a colander, I would fetch it.",,Fetch the colander.,,I'll place the colander on the counter.,
cut-into onionspring,put-into piecespringonion,I'll prepare the onions by washing them if needed.,,Fetch the onionspring.,,I'll put the onionspring into piecespringonion.,
open dishwasher,throw wrap,"Based on the chef's current action of opening the dishwasher, I will fetch the dirty dishes to load into it.",,Fetch the wrap for the chef.,,I will wash the dishes.,
pour-in powdercurry,put-in packet,"Based on the chef's current action of pouring in powder curry, the best help would be to mix it evenly.",,Fetch the curry packet.,,I will wash the powdercurry.,
pick-up instruction,put-in teaspoon,"Based on the current action of pick-up instruction, I will fetch the teaspoon for my chef.",,Fetch the teaspoon.,,I will wash the teaspoon.,
open moka,put-down cloth,"Based on the current action of my chef, I will fetch the cloth.",,Fetch the put-down cloth.,,I'll wash the Moka pot.,
fold paperfoil,pick-up paperfoil,"Based on the chef's current action of folding paperfoil, the best help would be to fetch more paperfoil.",,Fetch the ingredients for the chef's next task.,,I will pick up the paperfoil.,
scoop-out egg,put-in spatula,"Based on the chef's next action being ""put-in spatula,"" I would fetch the spatula for the chef.",,Fetch the spatula.,,I'll put the egg into the bowl.,
mix-in garlic,open processorfood,"Based on current action, I'll prepare garlic by peeling and mince it next. Thus, I'll fetch a garlic peeler and describe the action as ""Fetch garlic peeler.""",,Fetch the processor food.,,I will wash the processorfood.,
put salmon,take bag,"Based on the current action, I will fetch the bag next.",,Fetch the salmon.,,I'll wash the salmon.,
pour flour,shake mouldringcake,"Based on the current action of pouring flour, I would mix it next.",,Fetch the flour to assist the chef.,,I'll wash the moulding cake.,
pick-up napkin,rinse tupperware,"Based on the chef's current action of picking up a napkin, the best help I can provide next would be to fetch the requested tupperware.",,Fetch the napkin for the chef.,,I will wash the tupperware.,
wash hand,move onion,Dry chef's hands before fetching the onion.,,Fetch the onion for the chef.,,fetch onion,
open egg,stack halfeggshell,"Based on the current action, I will fetch a bowl next.",,Fetch the halfeggshell.,,I will wash the egg.,
take potato,put-down bag,"Based on the chef's current action of taking a potato, I would suggest washing it next.",,Fetch the potato.,,I'll put the potato in the bag.,
move skingarlic,scrape skingarlic,"Based on the chef's current action of moving skingarlic, the best help would be to fetch more ingredients or tools.",,Fetch skingarlic.,,I'll wash the skingarlic.,
put cloth,open potmoka,"Based on the current action of putting a cloth, I would fetch the next item needed for the chef.",,Fetch the cloth to assist the chef.,,I'll wash the cloth.,
move filterwater,close powdercocoa,"Based on the current action and the potential next action, I would fetch the powdered cocoa.",,Fetch the powdered cocoa.,,I will wash the powdercocoa.,
put-down cloth,pick-up spatula,"Based on the current action, I will fetch the spatula for the chef.",,Fetch the spatula.,,I'll wash the put-down cloth.,
take mug,put-in water,"Based on the chef's current action of taking a mug, I would fetch a water source to provide for the next action of putting in water.",,Fetch the mug.,,I'll wash the mug.,
put-down package,pick-up bottlewater,"Based on the chef's current action of put-down package, I will fetch the next required item.",,Fetch the bottled water for the chef.,,I'll wash the bottlewater.,
scoop rice,pour-into rice,"Based on the chef's current action of scooping rice, I will fetch a pot for pouring-into.",,Fetch the rice cooker.,,I'll wash the rice.,
pick-up bookrecipe,use soap,"Based on the chef's next action being ""use soap,"" I would fetch the soap.",,Fetch the book recipe.,,"### action: wash

### next action: rinse",
pick-up pizza,open oven,Preheat oven for optimal pizza baking. (Assuming the oven is not already at the desired temperature.),,Fetch the pizza.,,"### action: open oven
### next action: check temperature",
drop floor,put-in garbage,"Based on the current action being ""drop floor"" and the potential next action being ""put-in garbage,"" I would suggest fetching a garbage can to assist your chef.",,Fetch the dropped items to assist the chef.,,I will put-in garbage.,
shake rice,pour-into rice,"Based on the current action of shaking rice, the next best action for me would be to fetch a pot for the chef to pour the rice into.",,Fetch the rice to shake.,,I'll wash the rice.,
rinse saucepan,rinse hand,"Based on the chef's current action, I would fetch a clean towel to dry the saucepan next.",,"Fetch the ingredients for the next step.

This response suggests that after the chef has rinsed the saucepan, the next logical step would be to gather the necessary ingredients for the chef to proceed with the cooking process. This action is chosen to ensure that the chef has everything they need to continue without interruption, which is essential",,Rinse saucepan.,
take containersugar,pour-in sugar,"Based on the chef's current action of taking a container of sugar, I would fetch a clean mixing bowl next.",,Fetch sugar for the chef.,,fetch sugar,
open boxcereal,put-down cereal,"Based on the chef's current action, I would fetch the milk.",,Fetch the milk.,,I will wash the cereal.,
open cantrash,throw-out paper,"Based on the current action of my chef, I will fetch the next item needed.",,Fetch ingredients for the chef's next action.,,I will wash the trash can.,
break meat,turn-in meat,"Based on the chef's current action of breaking meat, I would suggest:

Prepare a bowl for turning in the meat. (fetch, bring)

This action allows the chef to easily collect the broken meat in one place, making the next step of turning it in more efficient.",,Fetch the meat for the chef.,,I will wash the meat.,
pick-up piecesaladspinner,rinse piecesaladspinner,"Based on the chef's current action of picking up the salad spinner, I would suggest the following action:

1. Wash the salad spinner.

Explanation:
Since the chef has picked up the salad spinner, it is likely that it needs to be cleaned before use again. Therefore, washing it would be the most logical next",,Fetch the piecesaladspinner.,,I'll wash the piecesaladspinner.,
rinse strainer,pick-up liquidwashing,"Based on the current action of rinsing a strainer, the best help I can provide next is to fetch a clean bowl.",,Fetch the liquid to rinse strainer.,,I'll rinse the strainer.,
stir mushroom,pour water,"If pouring water is next, I'll fetch it. Otherwise, I'll stabilize the mushroom pot.",,Fetch additional ingredients for the mushroom dish.,,I'll wash the mushrooms.,
slice onion,pick-up onion,"Based on the current action, I would fetch a bowl for the chef to use for mixing.",,Fetch the onion to assist the chef.,,I will wash the onion.,
take rubbish,open lidbin,"Based on the current action of taking out the trash, the best help I can provide next is to fetch new trash bags or clean the trash bin.",,Fetch the lidbin to assist the chef.,,Open the trash can.,
pick-up flour,open flour,"Based on the chef's current action of picking up flour, I would fetch the mixing bowl next.",,Fetch the flour safely to the chef.,,"### action: open flour

### action list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
move onion,move-into onion,"Based on the chef's current action of moving an onion, the best help would be to fetch a cutting board and stabilize it.",,Fetch the cutting board.,,fetch onion,
clean kitchen,throw paper,"Based on the current action of cleaning the kitchen, the best help I can provide next is:

1. Fetch cleaning supplies.",,Fetch ingredients for the next cooking step.,,fetch paper,
get tomato,wipe-off tomato,"Based on the chef's next action being ""wipe-off tomato,"" I would suggest the following action:

Prepare tomato for wiping. (This could involve washing and drying the tomato before the chef wipes it off.)",,Fetch the tomato.,,I will wash the tomato.,
take egg,put-in itemfridge,"Based on the chef's current action of taking an egg, I would suggest: ""Prepare for mixing by washing the egg.""",,Fetch the egg from the counter.,,put egg in fridge.,
pick-up leaf,put-in leaf,"Based on the chef's current action of picking up a leaf, the best assistance would be to fetch the next ingredient.",,Fetch the leaf.,,I'll wash the leaf.,
pick-up teaspoon,sprinkle-on salt,"Based on the chef's next action being ""sprinkle-on salt,"" I would fetch the salt container.",,Fetch the salt to sprinkle-on.,,fetch salt,
pick-up v60,empty bowlwashingup,"Based on the current action, I will fetch a clean bowl for my chef.",,Fetch v60 to assist the chef.,,I'll wash the bowl.,
stir food,pour squash,"Based on the chef's current action of stirring food and the next action being to pour squash, I would fetch the squash.",,Fetch the squash.,,I'll wash the squash.,
crush garlic,chop garlic,"Based on the current action of crushing garlic, the next best help for the chef could be:

1. Wash and dry the next ingredient.
2. Cut or slice vegetables in preparation.
3. Mix ingredients in a bowl.
4. Pour liquids into a measuring cup or pot.
5. Fetch required utensils or ingredients",,Fetch fresh garlic for crushing.,,I will wash the garlic.,
rinse-under scourer,rinse scourer,"Based on the current action, I would fetch a clean towel to dry the rinsed scourer.",,Fetch the rinse-under scourer.,,I'll wash the scourer.,
pick-up scale,put-in scale,"Based on the chef's current action of pick-up, I would fetch the desired ingredient next.",,Fetch the ingredients for the chef.,,I'll wash the scale.,
stir buttermelting,move bowllarge,"Based on the chef's current action and the potential next action, I would mix the buttermilk to ensure a smooth consistency.",,Fetch the butter.,,"### action: wash

### action list: 
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
rinse strainer,rinse boardchopping,"Based on the chef's current action of rinsing a strainer, the best assistance would be to:

1. Fetch a clean towel for drying.",,Fetch the ingredients for the next step.,,I'll wash the strainer.,
put-down foiltransparent,remove coffee,"Based on the chef's current action of putting down the foil, I would fetch the coffee.",,Fetch the foil transparent.,,I'll wash the foil.,
inspect plug,place pea,"Based on the current action, I will fetch the pea container next.",,Fetch the pea.,,I'll wash the plug.,
place rag,pick-up glass,"Based on the current action of placing a rag, the next best action for me would be to fetch the requested glass.",,Fetch the rag to assist the chef.,,I'll wash the glass.,
wipe hand,wipe-off hand,"Based on the chef's current action of wiping their hand, I would fetch a clean towel to dry their hands.",,Fetch clean utensils for chef.,,Wipe hand with a towel.,
put-down tomato,close boxcereal,"Based on the current action and the potential next action, I would stabilize the tomato to prepare for the chef's next task of opening the box of cereal.",,Fetch close boxcereal.,,I will wash the boxcereal.,
open avocado,cut avocado,"Based on the current action, I will prepare for cutting by washing and drying the avocado.",,Fetch a cutting board and knife.,,I will wash the avocado.,
empty bowlsalad,pick-up bowlsalad,"Based on the current action, I would fetch fresh vegetables for the next salad.",,Fetch the ingredients for the salad.,,I will wash the empty bowlsalad bowls.,
get mint,take leafmint,"Based on the chef's current action of getting mint, I would fetch the mint next.",,Fetch leafmint.,,I'll wash the mint leaves.,
put salt,mix mixture,"Based on the current action, I will fetch the required mixing tool next.",,Fetch the salt for the chef.,,I'll wash the salt.,
put pieceonion,stir onion,"Based on the current action of putting an onion, the best help I can provide next is:

1. Prepare a bowl for onions (if needed)
2. Fetch a sharp knife (if not available)
3. Cut the onion

Therefore, my action would be: ""Cut the onion.""",,Fetch onion for chef.,,I'll wash the piece of onion.,
put cloth,wash hand,"If the chef is putting out a cloth, I would fetch a clean one.",,Fetch clean apron for chef.,,fetch cloth,
put-in traysteamer,put-on traysteamer,"Based on the chef's current action, I will fetch the next tray for put-on-traysteamer.",,Fetch additional ingredients for the traysteamer.,,I will wash the tray steamer.,
fold dough,turn dough,"I'll stabilize the dough to prepare for the chef's next action, ""turn dough.""",,Fetch the rolling pin to assist with dough preparation.,,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring",
slice cucumber,put-down carrot,"Based on current observation, I will fetch a clean cutting board for the next action.",,Fetch the carrot.,,I'll slice the cucumber.,
pour-in cinnamon,take-out mug,"Based on the current action, I will fetch the mug for the chef.",,Fetch the cinnamon.,,I'll wash the mug.,
open cubegravy,put-in gravy,"Based on the current action, I would fetch the put-in gravy dish.",,Fetch put-in gravy.,,I will wash the pan.,
place cheese,take-out bottlecoke,"Based on the current action of placing cheese, I would fetch the grater to help prepare it next.",,Fetch the take-out beer.,,I'll wash the bottlecoke.,
put-down leaflettuce,wash leaflettuce,"If chef requests to wash leaflettuce next, then I will assist by preparing the sink and providing water. (10 words)

Assisting with sink preparation and water provision.",,Fetch fresh leaflettuce for the chef.,,I'll wash the leaflettuce.,
cut cover,wash handmy,"If the chef's next action is ""wash hands,"" I will fetch a clean towel to dry them.",,Fetch additional cutting tools.,,I'll wash my hands.,
scoop salt,sprinkle salt,"Based on the chef's current action of scooping salt, the best assistance would be to fetch a sprinkling container or spoon. (Fetch a sprinkling container or spoon)",,Fetch the salt shaker.,,I will wash the salt.,
put-inside spoonwooden,pick-up spoonwooden,"Based on the chef's current action of putting something in a wooden spoon, the best assistance would be to:

1. Fetch a clean bowl or plate.",,Fetch the spoonwooden.,,I will wash the spoonwooden.,
take honey,put-away lemon,"Based on the chef's current action of taking honey, the best help would be to fetch the next ingredient: bring lemon.",,Fetch the put-away lemon.,,I'll put-away the lemon.,
shake-into salt,close lidsalt,"Based on the current action and the possible next action, I would fetch the lid.",,Fetch salt with a close lid.,,"### action: wash
### action: dry
### action: cut
### action: slice
### action: mix
### action: pour
### action: fetch
### action: clean
### action: stabilize
### action: bring",
push-into traypizza,close oven,"Based on the current action and the possible next action, I would fetch the pizza tray from the oven once it is open.",,Fetch the pizza tray.,,"### action: wash

### next action: bring",
put-in jug,scour jug,"Based on the current action, I will fetch a clean jug for my chef.",,Fetch the jug.,,I'll wash the jug.,
clean peelerpotato,put-down peelerpotato,"Based on the current action, I would fetch a clean towel to dry the peeled potatoes.",,Fetch the potato.,,I will wash the peelerpotato.,
pick-up saucepan,close drawerdishwasher,"Based on the chef's current action and the potential next action, I would fetch the desired utensil or ingredient.",,Fetch the saucepan for the chef.,,I will wash the saucepan.,
shake hand,pick-up paper,"Based on the current action of my chef being a handshake, I would fetch the necessary items for the upcoming action, such as the paper.",,Fetch ingredients for the next recipe.,,I'll wash the paper.,
pick-up bag,pick-up broccoli,"Based on the chef's current action of picking up a bag, I would fetch the next ingredient.",,Fetch the broccoli.,,fetch broccoli.,
put-in salad,put-in chicken,"Based on the chef's current action of putting in a salad, I would fetch the desired ingredients or toppings next.",,Fetch the chicken.,,fetch chicken,
open bagplastic,get salad,"Based on the current action, I would fetch the salad.",,Fetch the salad ingredients.,,"### action: wash

### output: wash plastic bag",
peel-off dough,unfold edgedough,Prepare water for dough washing if needed. (assuming chef will ask for it next),,"Fetch the unfolded dough.

This action is chosen because if the dough has been peeled off and unfolded, it implies that the chef has prepared it for the next step, which could be rolling, cutting, or shaping. Fetching the dough ensures that it is ready for the chef to proceed with the recipe.",,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
put-down cutlery,move cutlery,"Based on the chef's current action, I will prepare the next by fetching the required cutlery.",,Fetch additional cutlery for chef.,,I will wash the cutlery.,
turn-off hooverhandheld,pick-up wire,"Based on the chef's current action and the potential next action, I would fetch the pick-up wire.",,Fetch the wire for the chef.,,"### action: pick-up wire
### list: wash, dry, cut, slice, mix, pour, fetch, clean, stabilize, bring",
hang-up ragdish,rinse hand,"Based on the chef's current action of hanging up a ragdish, the best help I can provide next would be to fetch a clean towel for drying their hands.",,Fetch clean utensils for chef.,,I'll wash the ragdish.,
open bacon,take bacon,I'd suggest fetching more paper towels for the chef to dry the bacon.,,Fetch the bacon.,,I'll wash the bacon.,
cut breastchicken,take breastchicken,"Based on the current action, I would suggest drying the breast chicken next.",,Fetch the breast chicken.,,I'll wash the chicken.,
dry cutlery,pick-up utensil,"Based on the current action of my chef being dry cutlery, I would fetch fresh water for washing.",,Fetch clean utensils for chef.,,I will wash the dry cutlery.,
pick-up bladefoodprocessorchopping,put bladechopping,"Based on the chef's current action, I will fetch the desired ingredient next.",,Fetch the ingredients for the chef.,,I'll wash the blade.,
disassemble capburner,insert capburner,"Based on the chef's current action, I will fetch a new capburner.",,Fetch the capburner.,,I will wash the capburner.,
grab meat,put-down machinecoffee,"Based on the chef's current action of grabbing meat, I would fetch the required cutting tools next.",,Fetch the meat for the chef.,,I'll wash the machine.,
put ladle,take cloth,"If chef needs cloth, I'll bring it. Otherwise, I'll mix or fetch as needed.",,Fetch the cloth for the chef.,,I'll wash the cloth.,
open cabinet,pick-up coffee,"Based on the current action, I will fetch the coffee.",,Fetch ingredients for the chef's next action.,,open cabinet,
fold rollkitchen,put-down rollkitchen,"Based on the chef's current action of folding a rollkitchen, the best assistance would be to:

1. Prepare fresh ingredients.
2. Gather necessary tools.
3. Stabilize the rolling surface.
4. Bring additional flour.
5. Fetch water for washing.

Therefore, I would fetch water",,Stabilize the rollkitchen to assist the chef.,,I will put the rollkitchen down.,
pick courgette,cut courgette,Prepare courgette for cutting by washing and drying it.,,Fetch the courgette.,,I will wash the courgette.,
search cover,close box,"Based on the current action of my chef being ""search cover,"" I would fetch the requested cover to assist them next.",,Fetch the cover for the chef.,,I will wash the cover.,
cut caper,pick-up boardcutting,"Based on the current action of cutting capers, the next best help I can provide is to fetch the necessary ingredients or tools.",,Fetch the board for cutting.,,I'll wash the boardcutting knife.,
drop-into piececucumber,pick-up piececucumber,"Based on the current action, I would suggest cutting the cucumber next.",,Fetch the piece cucumber.,,I will wash the piececucumber.,
put-away glass,pick-up glass,"Based on the current action, I would fetch a clean glass for my chef.",,Fetch the glass to assist the chef.,,fetch glass,
put-down boardchopping,cut packagingopenmeat,"Based on the current action and the potential next action, I will fetch the meat packaging.",,Fetch the cutting board.,,I'll wash the meat.,
wipe countertop,press doughbread,"Based on the current action, I will fetch necessary tools or ingredients for the next task (press dough).",,"Fetch ingredients for the next recipe.

This action is chosen because, after wiping the countertop, the chef would likely need to prepare for the next step in the cooking process, which often involves gathering ingredients. Fetching ingredients ensures that the chef has everything they need to proceed efficiently without interruption.",,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring",
close bagplastic,place bag,"Based on the current action, I would fetch the next item needed for the chef.",,Fetch the bag to assist the chef.,,I will wash the plastic bag.,
